"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 02- 01","81,360.2","102,421.3","102,770.8","79,744.4","2.36M","-20.57%"
"2025- 01- 01","102,424.2","93,557.3","109,228.6","89,664.8","2.72M","9.48%"
"2024- 12- 01","93,557.2","96,404.7","108,244.9","91,522.3","4.41M","-2.95%"
"2024- 11- 01","96,405.7","70,278.7","99,617.4","66,834.0","4.16M","37.17%"
"2024- 10- 01","70,281.8","63,329.9","73,569.4","59,075.7","2.56M","10.96%"
"2024- 09- 01","63,339.2","58,975.7","66,440.7","52,644.6","2.34M","7.39%"
"2024- 08- 01","58,978.6","64,625.7","65,587.9","49,486.9","2.56M","-8.74%"
"2024- 07- 01","64,626.0","62,768.8","70,000.2","53,883.4","2.06M","2.98%"
"2024- 06- 01","62,754.3","67,533.9","71,956.5","58,589.9","1.60M","-7.07%"
"2024- 05- 01","67,530.1","60,665.0","71,872.0","56,643.5","2.10M","11.31%"
"2024- 04- 01","60,666.6","71,329.3","72,710.8","59,228.7","2.66M","-14.95%"
"2024- 03- 01","71,332.0","61,157.3","73,740.9","60,138.2","2.70M","16.61%"